dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,42,no_pruning,dense,,0.0,24,24,0.9540000557899475,0.34550332315266136,0.0,0.9266666769981384,795.2375240325928
mnist,4,42,no_pruning,dense,,0.0,24,24,0.9540000557899475,0.34550332315266136,0.03,0.88,795.2375240325928
mnist,4,42,no_pruning,dense,,0.0,24,24,0.9540000557899475,0.34550332315266136,0.05,0.88,795.2375240325928
mnist,4,42,no_pruning,dense,,0.0,24,24,0.9540000557899475,0.34550332315266136,0.1,0.85,795.2375240325928
mnist,4,42,pruned,qadaprune_r,0.1,0.125,24,21,0.9040000438690186,0.2792616152137518,0.0,0.8566666841506958,934.6052029132843
mnist,4,42,pruned,qadaprune_r,0.1,0.125,24,21,0.9040000438690186,0.2792616152137518,0.03,0.78,934.6052029132843
mnist,4,42,pruned,qadaprune_r,0.1,0.125,24,21,0.9040000438690186,0.2792616152137518,0.05,0.77,934.6052029132843
mnist,4,42,pruned,qadaprune_r,0.1,0.125,24,21,0.9040000438690186,0.2792616152137518,0.1,0.75,934.6052029132843
mnist,4,42,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2904623263336718,0.0,0.8966667056083679,936.9170463085175
mnist,4,42,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2904623263336718,0.03,0.82,936.9170463085175
mnist,4,42,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2904623263336718,0.05,0.78,936.9170463085175
mnist,4,42,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2904623263336718,0.1,0.77,936.9170463085175
mnist,4,42,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9320000410079956,0.30738426709212363,0.0,0.9633333683013916,934.5511033535004
mnist,4,42,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9320000410079956,0.30738426709212363,0.03,0.96,934.5511033535004
mnist,4,42,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9320000410079956,0.30738426709212363,0.05,0.95,934.5511033535004
mnist,4,42,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9320000410079956,0.30738426709212363,0.1,0.9,934.5511033535004
mnist,4,7,no_pruning,dense,,0.0,24,24,0.9520000219345093,0.32570305305719377,0.0,0.9500000476837158,796.7790472507477
mnist,4,7,no_pruning,dense,,0.0,24,24,0.9520000219345093,0.32570305305719377,0.03,0.97,796.7790472507477
mnist,4,7,no_pruning,dense,,0.0,24,24,0.9520000219345093,0.32570305305719377,0.05,0.97,796.7790472507477
mnist,4,7,no_pruning,dense,,0.0,24,24,0.9520000219345093,0.32570305305719377,0.1,0.94,796.7790472507477
mnist,4,7,pruned,qadaprune_r,0.1,0.125,24,21,0.8760000467300415,0.32822364760264755,0.0,0.8333333730697632,935.9744069576263
mnist,4,7,pruned,qadaprune_r,0.1,0.125,24,21,0.8760000467300415,0.32822364760264755,0.03,0.83,935.9744069576263
mnist,4,7,pruned,qadaprune_r,0.1,0.125,24,21,0.8760000467300415,0.32822364760264755,0.05,0.83,935.9744069576263
mnist,4,7,pruned,qadaprune_r,0.1,0.125,24,21,0.8760000467300415,0.32822364760264755,0.1,0.83,935.9744069576263
mnist,4,7,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2672362510736799,0.0,0.9233333468437195,933.7239060401917
mnist,4,7,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2672362510736799,0.03,0.91,933.7239060401917
mnist,4,7,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2672362510736799,0.05,0.91,933.7239060401917
mnist,4,7,pruned,qadaprune_r,0.25,0.25,24,18,0.9380000233650208,0.2672362510736799,0.1,0.88,933.7239060401917
mnist,4,7,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9300000667572021,0.30828000905774533,0.0,0.893333375453949,934.8877558708191
mnist,4,7,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9300000667572021,0.30828000905774533,0.03,0.89,934.8877558708191
mnist,4,7,pruned,qadaprune_r,0.4,0.41666666666666663,24,14,0.9300000667572021,0.30828000905774533,0.05,0.87,934.8877558708191
