dataset,n_qubits,seed,run_type,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,42,no_pruning,,0.0,24,24,0.9540000557899475,0.3489507772922516,0.0,0.9233333468437195,393.1224808692932
mnist,4,42,no_pruning,,0.0,24,24,0.9540000557899475,0.3489507772922516,0.03,0.88,393.1224808692932
mnist,4,42,no_pruning,,0.0,24,24,0.9540000557899475,0.3489507772922516,0.05,0.86,393.1224808692932
mnist,4,42,no_pruning,,0.0,24,24,0.9540000557899475,0.3489507772922516,0.1,0.84,393.1224808692932
mnist,4,42,pruned,0.1,0.125,24,21,0.9540000557899475,0.3489507772922516,0.0,0.9233333468437195,1175.0646486282349
mnist,4,42,pruned,0.1,0.125,24,21,0.9540000557899475,0.3489507772922516,0.03,0.88,1175.0646486282349
mnist,4,42,pruned,0.1,0.125,24,21,0.9540000557899475,0.3489507772922516,0.05,0.86,1175.0646486282349
mnist,4,42,pruned,0.1,0.125,24,21,0.9540000557899475,0.3489507772922516,0.1,0.84,1175.0646486282349
mnist,4,42,pruned,0.25,0.25,24,18,0.9460000395774841,0.33932346816360953,0.0,0.9133333563804626,402.1542525291443
mnist,4,42,pruned,0.25,0.25,24,18,0.9460000395774841,0.33932346816360953,0.03,0.88,402.1542525291443
mnist,4,42,pruned,0.25,0.25,24,18,0.9460000395774841,0.33932346816360953,0.05,0.84,402.1542525291443
mnist,4,42,pruned,0.25,0.25,24,18,0.9460000395774841,0.33932346816360953,0.1,0.81,402.1542525291443
mnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.9460000395774841,0.33932346816360953,0.0,0.32333335280418396,402.0258901119232
mnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.9460000395774841,0.33932346816360953,0.03,0.43,402.0258901119232
mnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.9460000395774841,0.33932346816360953,0.05,0.43,402.0258901119232
mnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.9460000395774841,0.33932346816360953,0.1,0.52,402.0258901119232
